dateIDd,Weekday,Holiday,Duration,Volume
20180925,1,0,647.9301653152304,15909
20180926,1,0,682.4363365216497,19446
20180927,1,0,738.7990380819066,27861
20180928,1,0,760.0517848880663,28097
20180929,0,0,771.4591998364928,19571
20180930,0,0,780.1870424997269,18306
20181001,1,0,708.1366748482109,23223
20181002,1,0,611.9992978144475,11393
20181003,1,0,687.0805166254465,21834
20181004,1,0,705.2149341278339,21481
20181005,1,0,702.3115554303952,21306
20181006,0,0,708.228700953572,12794
20181007,0,0,753.6274905422447,11895
20181008,1,1,697.4032118591723,8095
20181009,1,0,757.4677493043154,24077
20181010,1,0,655.823600306782,18254
20181011,1,0,624.570142251816,13216
20181012,1,0,680.5414566656784,20238
20181013,0,0,696.4158260479713,13383
20181014,0,0,749.6781088082902,13896
20181015,1,0,646.787027698037,12889
20181016,1,0,657.0785686064232,17717
20181017,1,0,640.0970776147657,16904
20181018,1,0,640.6502431937338,15831
20181019,1,0,707.4840607401449,19888
20181020,0,0,709.3385838931357,12951
20181021,0,0,633.052625994695,9425
20181022,1,0,656.7394320539419,15424
20181023,1,0,648.69169358279,16409
20181024,1,0,637.1826888195603,13783
20181025,1,0,628.013942371531,15062
20181026,1,0,659.9934176891616,15648
20181027,0,0,618.744380952381,7875
20181028,0,0,614.9552581261951,5230
20181029,1,0,615.2596260737746,9895
20181030,1,0,634.5518698499894,14199
20181031,1,0,606.9583192138258,8853
20181101,1,0,639.3862010342141,14117
20181102,1,0,606.5535100141615,9886
20181103,0,0,580.0937700706487,4671
20181104,0,0,712.5651940810637,9326
20181105,1,0,613.649901482941,9643
20181106,1,0,615.9059366225431,9972
20181107,1,0,627.1618029256701,13467
20181108,1,0,616.0606930037519,13593
20181109,1,0,606.6754938601175,9365
20181110,0,0,589.6774193548387,6293
20181111,0,0,582.7237163814181,5726
20181112,1,0,597.8612931624767,10223
20181113,1,0,577.5913496311298,6913
20181114,1,0,549.1050698016164,6805
20181115,1,0,583.0048590864917,7203
20190414,0,0,835.0399299036175,7989
20190415,1,0,646.1278698494755,6577
20190416,1,0,706.4007512043765,12247
20190417,1,0,799.0391868169205,17659
20190418,1,0,667.0618767369625,12234
20190419,1,0,607.1005228136883,4208
20190420,0,0,634.8664673642252,6021
20190421,0,0,987.8288114584768,14522
20190422,1,1,904.5442349337136,18933
20190423,1,0,783.3451531570195,18641
20190424,1,0,636.7405263157895,9500
20190425,1,0,731.2299521743967,17982
20190426,1,0,615.6058215451578,7352
20190427,0,0,590.5958924349882,6768
20190428,0,0,772.8062218000475,12633
20190429,1,0,743.1487515987321,17983
20190430,1,0,757.4017241379311,20880
20190501,1,0,677.5066881763796,14877
20190502,1,0,700.6082890787347,17324
20190503,1,0,679.3450998606595,12918
20190504,0,0,923.365046398586,22630
20190505,0,0,959.7939839104582,25731
20190506,1,0,853.5211731096084,27653
20190507,1,0,777.1934101364369,25433
20190508,1,0,782.2838322419707,25656
20190509,1,0,741.1496469310158,22092
20190510,1,0,668.7029785809906,11952
20190511,0,0,817.8447666019031,20073
20190512,0,0,870.5656142081895,20270
20190513,1,0,723.1895752530507,21142
20190514,1,0,627.7915471698113,13250
20190515,1,0,766.6980116315624,25448
20190516,1,0,776.9768328552235,27539
20190517,1,0,717.0161075738857,21046
